source_directory,processing_script,processed_output,metadata_status,structured_metadata_present,validation_error_count,validation_errors,source_key,release_clearance,permission_basis,original_author,last_substantive_update,manual_steps_required,external_dependencies_required,source_dataset,processing_assumptions,temporal_handling,spatial_handling,manual_steps,known_limitations,external_dependencies,notes
Seward,data\Seward\process_seward.py,data\Seward\processed_seward.csv,structured_toml,yes,0,,Seward,approved,public_repository_terms,jschwenk + Codex,2026-08-04,no,no,"Thaler, E.; Uhlemann, S.; Rowland, J.; Dafflon, B.; Schwenk, J.; Bennett, K.;
Thomas, L. 2023. Machine learning predictions of near-surface permafrost extent
at Teller 27, Teller 47, and the Kougarok 64 Hillslope sites on the Seward
Peninsula, Alaska: Supporting Data. NGEE Arctic / ESS-DIVE.
doi:10.5440/1970774

Thaler, E. A. et al. 2023. High-Resolution Maps of Near-Surface Permafrost for
Three Watersheds on the Seward Peninsula, Alaska Derived From Machine Learning.
Earth and Space Science 10, e2023EA003015. doi:10.1029/2023EA003015
","Three ground-truth tables (KG, T47, and T27) are processed separately and concatenated. || Only source presence/absence classifications are retained; the source tables do not provide row-level thaw or permafrost depth. || Permafrost absence is represented to a conservative 100 cm observation limit, matching the study's near-surface permafrost definition and remaining within the 0.75-1.20 m range of manual temperature observations. || The tables combine classifications from co-located ERT and temperature measurements with manual temperature profiles, frost probing, trenches, and exposed-bedrock observations; row-level method provenance is unavailable, so method is unknown.","KG is assigned 2019-08-15 from its 2019 late-summer survey year. || T27 is assigned 2018-08-15, the earliest primary survey year, but the source table also includes 2022 observations that cannot be identified row by row. || T47 is assigned 2021-09-15, the primary geophysical survey year, but the source table also includes manual observations from August 2022 that cannot be identified row by row.",Source X/Y coordinates are interpreted in EPSG:32603 and reprojected to WGS84 before export.,,T27 and T47 are multi-year composite tables without row-level dates; their assigned dates must not be interpreted as exact observation dates. || The exact observation method cannot be recovered for individual rows from the released ground-truth tables. || The 100 cm absence limit is a conservative source-level interpretation rather than a row-specific measured limit.,,
Seward_2022,data\Seward_2022\process_seward_2022.py,data\Seward_2022\processed_seward_2022.csv,structured_toml,yes,0,,Seward_2022,approved,public_repository_terms,jschwenk + Codex,2026-08-06,no,no,"Thaler, E.; Del Vecchio, J.; Farley, M.; Thomas, L.; Rowland, J. 2024.
Active Layer Depth and Permafrost Temperatures at the Teller 47 Field Site,
Seward Peninsula, Alaska, 2022. NGEE Arctic / ESS-DIVE.
doi:10.15485/2395957
","PF is mapped directly to pf_observed, PfDepth to thaw_depth, and PfTemp to temp. || pf_depth is set equal to thaw_depth where pf_observed = 1. || obs_limit is fixed at 120 cm for absence rows and method is set to tp for all processed observations. || For source PF = 0, the reported capped depth is preserved as provenance but cleared from canonical thaw_depth; obs_limit is 120 cm. || The assumed-limit flag applies only to source PF = 0 rows.",All rows are assigned the single campaign-average date 2022-08-16 because the processed source table does not preserve per-observation dates.,The source Easting/Northing coordinates are interpreted as EPSG:32603 and reprojected to WGS84 before export.,,Observation timing is approximate because all records share one campaign-average date.,,
Smith_Burgess_2000,data\Smith_Burgess_2000\process_smith_burgess_2000.py,data\Smith_Burgess_2000\processed_smith_burgess_2000.csv,structured_toml,yes,0,,Smith_Burgess_2000,approved,published_literature,jschwenk + Codex,2026-08-06,no,no,"Smith, S.; Burgess, M. M. 2000. Ground temperature database for northern
Canada. Geological Survey of Canada, Open File 3954.
https://doi.org/10.4095/211804
","Only a subset of sheets and columns from the Canadian workbook are used, with active-layer thickness parsed out of free-form text values. || The largest integer found in each active-layer-thickness cell is taken as the usable thaw depth. || Rows explicitly marked no pf/no permafrost are retained as pf_observed = 0; their observation limit is the deepest row-specific ground-temperature sensor depth converted from m to cm. || Rows lacking both a numeric thickness and an explicit no-permafrost marker are dropped. || A midpoint year is extracted from PERIOD, including two-digit historical year ranges, and exported as July 1 of that year. || West longitudes stored as positive degrees W are converted to negative WGS84 longitude. || pf_depth is set equal to thaw_depth for numeric active-layer observations; method is temp for explicit no-permafrost temperature profiles and unknown for numeric active-layer values whose field method is heterogeneous.",Date is reduced to July 1 of a midpoint year inferred from the PERIOD field rather than a full observation date.,Latitude and longitude are read directly from the workbook without reprojection.,,"The processed output uses only the active-layer-thickness information from the broader ground-temperature database. || Temporal precision is limited to an inferred midpoint year. || Coordinates and active-layer values are compiled from heterogeneous original references and may have source-specific precision not recoverable from this workbook. || Bounded, approximate, or ranged active-layer text is converted to one representative numeric value and carries source_value_approximate.",,
Smith_Burgess_2002,data\Smith_Burgess_2002\process_smith_burgess_2002.py,data\Smith_Burgess_2002\processed_smith_burgess_2002.csv,structured_toml,yes,0,,Smith_Burgess_2002,approved,published_literature,jschwenk + Codex,2026-08-06,no,yes,"Smith, S. L.; Burgess, M. M. 2002. A digital database of permafrost thickness
in Canada. Geological Survey of Canada, Open File 4173. Natural Resources
Canada. https://doi.org/10.4095/213043
","Only the active-layer-thickness field from the broader permafrost-thickness database is used for CUSP processing. || The largest integer found in each active-layer-thickness cell is taken as the usable thaw depth. || Rows lacking a numeric active-layer thickness are dropped unless explicitly marked no pf. Exact observation matches and additional coordinate/site-identifier matches represented in Smith_Burgess_2000 are removed in favor of that CUSP-relevant ground-temperature product. || A midpoint year is extracted from PERIOD and exported as July 1 of that year. || West longitudes stored as positive degrees W are converted to negative WGS84 longitude. || pf_depth is set equal to thaw_depth for all retained rows, and method is exported as unknown because the source workbook aggregates multiple monitoring contexts.",Date is reduced to July 1 of a midpoint year inferred from the PERIOD field rather than a full observation date.,Latitude and longitude are read directly from the workbook without reprojection.,,"The processed output uses only the active-layer-thickness information from a broader permafrost database product. || Temporal precision is limited to an inferred midpoint year. || Thirty-five exact observation matches and 11 additional coordinate/site-identifier matches are removed against Smith_Burgess_2000; differing active-layer values at those 11 sites are treated as alternate compiled representations rather than independent observations. || Bounded, approximate, or ranged active-layer text is converted to one representative numeric value and carries source_value_approximate.",data/Smith_Burgess_2000/processed_smith_burgess_2000.csv is required for source-specific overlap filtering.,
Talucci_2024,data\Talucci_2024\process_talucci_2024.py,data\Talucci_2024\processed_talucci_2024.csv,structured_toml,yes,0,,Talucci_2024,approved,public_repository_terms,jschwenk + Codex,2026-08-06,no,no,"Talucci, Anna; Loranty, Michael; Holloway, Jean; Rogers, Brendan; Alexander,
Heather; Baillargeon, Natalie; Baltzer, Jennifer; Berner, Logan; and others.
2024. FireALT: active layer thickness estimates for paired burned and unburned
sites in northern high latitudes. Arctic Data Center.
doi:10.18739/A2RN3092P
","Natali Bonanza Creek rows already represented by the direct ViPER_2018 source are removed before FireALT aggregation: BCB 2015 and BCU 2015, 2017, and 2018. || Additional Natali-attributed site-years represented by the direct Natali_2023 source are removed before aggregation; FireALT-only Natali contributions such as NCU_NEW, YKD, and sites a-g are retained. || Where both msrType = thaw and msrType = active exist for the same grouped site, only the active records are retained. || Repeated measurements at the same lat/lon, burn status, and time-since-fire grouping are summarized using mean estimated thaw depth rather than mean measured thaw depth. || pf_observed is fixed to 1 and pf_depth is set equal to the estimated thaw depth used for aggregation. || Single-record locations retain measured_thaw_depth and measured_date alongside the aggregated estimated-depth output.","Aggregated dates are reconstructed from year and mean estimated day-of-year. || For single-record locations, measured_date is reconstructed separately from msrDoy.",Latitude and longitude are used directly from the source CSV without reprojection.,,"The main processed thaw_depth field is based on estimated rather than measured depth for multi-observation groups. || Unburned control rows have no numeric time-since-fire value, so timeSinceFire is blank after ingestion. || method is exported as unknown because the source combines modeled and measured information without one clean field that maps to the CUSP method vocabulary. || CUSP prefers the direct ViPER_2018 thaw-probe observations over FireALT's synthesized Natali Bonanza Creek rows where the two overlap. || The ViPER and Natali filters are guarded at 3,936 and 1,552 raw rows, respectively, so source revisions cannot silently change deduplication.",,
Utqiagvik_ERT_GPR,data\Utqiagvik_ERT_GPR\process_utqiagvik_ert_gpr.py,data\Utqiagvik_ERT_GPR\processed_utqiagvik_ert_gpr.csv,structured_toml,yes,0,,Utqiagvik_ERT_GPR,approved,public_repository_terms,jschwenk + Codex,2026-05-22,yes,yes,"Ekimova, Valentina; Sullivan, Taylor; Nelson, MacKenzie; Epstein,
Howard; Douglas, Thomas; Jull, Matthew (2025): Utqiagvik permafrost
geophysics datasets (2021-2023) [dataset]. Zenodo.
https://doi.org/10.5281/zenodo.17096203
","Only thaw-probe observations are emitted as CUSP rows; raw ERT and GPR files are retained as source context but are not converted into observations because they are geophysical measurement files rather than interpreted point thaw-depth picks. || The source thaw_depth column is reported in meters and is converted to centimeters. || Numeric thaw_depth rows are treated as permafrost-present point observations, with pf_depth set equal to thaw_depth. || Rows whose field comment indicates that the frost probe bottomed out are retained as permafrost-absence observations to the 1 m probe limit stated in Ekimova et al. 2026. || Rows without numeric thaw_depth and without a frost-probe-bottomed-out comment are dropped because they document locations where no usable thaw-depth observation was recorded. || Source comment values consisting only of a ditto mark are forward-filled from the previous non-empty comment before processing. || Method is set to tp for all emitted observations.","The source table reports year only. || The publication describes field work as occurring in late August to early September near peak thaw, so year-only dates are encoded as September 1 of the reported year.",Source coordinates are UTM easting/northing in EPSG:32604 and are transformed to WGS84 latitude/longitude. || The source elevation and detected CRS columns are retained as provenance fields.,Download Geophysics_for_publication.zip from Zenodo DOI 10.5281/zenodo.17096203 and extract it in this source directory.,"The raw ERT and GPR files may support interpreted thaw-depth profiles in the paper, but CUSP currently ingests only the direct thaw-probe table from this release. || Future GPR ingestion would need interpreted thaw-depth picks or a documented picking workflow; ingesting every raw trace would overstate independent observations and mostly duplicate the same probe transect footprints. || Future ERT ingestion would require explicit inversion and interpretation decisions because the archive contains raw quadripole measurements and topography rather than point thaw-depth observations; resistivity-derived thaw depth is more interpretive than the probe table. || Several field notes indicate gravel, road, standing water, or possible refusal ambiguity; these notes are preserved but not used to filter numeric thaw-depth observations. || The BEO rows are spatially near existing Barrow/CALM observations, but this source provides individual 2021-2023 transect point observations rather than CALM annual site means.",Zenodo DOI: 10.5281/zenodo.17096203 || Article DOI: 10.5194/tc-20-265-2026,
Veremeeva_etal_2025,data\Veremeeva_etal_2025\process_veremeeva_etal_2025.py,data\Veremeeva_etal_2025\processed_veremeeva_etal_2025.csv,structured_toml,yes,0,,Veremeeva_etal_2025,approved,public_repository_terms,jschwenk + Codex,2026-05-21,yes,yes,"Veremeeva, Alexandra; Morgenstern, Anne; Gottschalk, Milena; Junger,
Julia; Laboor, Sebastian; Abakumov, Evgeny; Grosse, Guido; et al. (2025):
ALLena: Thaw depth measurements of the active layer in the Lena River
Delta region from 1998 to 2022, Northeastern Siberia [dataset].
PANGAEA. https://doi.org/10.1594/PANGAEA.973813
","The PANGAEA tab export is parsed directly from its embedded table header. || Each ALLena Data ID is emitted as one CUSP observation row. || The canonical thaw_depth and pf_depth fields use Thaw depth mean [cm], which is the source-provided mean for the measurement site. || The three discrete thaw-depth columns, thaw-depth minimum/maximum, source NOBS, and source quality flags are preserved as provenance columns. || Rows with QF TD = 2 are treated as lower-bound observations because the source says the actual thaw depth was larger than the reported value; pf_observed is set to 0, obs_limit is set to the reported mean depth, and thaw_depth/pf_depth are left missing. || Rows with QF TD = 1, where values were extracted from published figures, are retained as thaw-depth observations and flagged in the provenance columns. || Method is mapped from Device: metal probe to tp, measurement tape in soil pit or at outcrop to pit, measurement tape on core to aug, and mixed soil pit / metal probe to tp_pit. || Zero thaw-depth values are retained as reported rather than recoded.",The source Date/Time field is parsed as the observation date and written as YYYY-MM-DD. || Rows with QF date = 1 are retained; the flag indicates cases where only a measurement date range was available to the source compilers.,"Latitude and longitude are read directly from the source table in EPSG:4326. || Rows with QF coord = 1 or 2 are retained and flagged in provenance columns; QF coord = 1 indicates coordinates georeferenced from figures, and QF coord = 2 indicates likely coordinate problems in the source.",Download Veremeeva_main_table.tab from the PANGAEA dataset landing page.,"The local raw file is the main ALLena table. It does not include the separate detailed tables for sites with more than three thaw-depth measurements. || For source rows with more than three measurements, CUSP retains only the source-provided mean/min/max/NOBS summary available in the main table. || The method mapping for measurement tape on core uses aug as the closest current CUSP method vocabulary term. || One 30 m/year aggregate cell overlaps with CALM near Samoylov in 2002, but exact observation-level duplicate checks found no CALM matches on coordinates, date, and thaw/permafrost depth.",PANGAEA DOI: 10.1594/PANGAEA.973813,
ViPER_2018,data\ViPER_2018\process_viper_2018.py,data\ViPER_2018\processed_viper_2018.csv,structured_toml,yes,0,,ViPER_2018,approved,public_repository_terms,jschwenk + Codex,2026-05-21,yes,yes,"Natali, Susan; Kholodov, Alexander; Loranty, Michael (2016): Thaw depth
and organic layer depth from Alaska borehole sites, 2015, 2017, 2018
(ViPER Project). Arctic Data Center. https://doi.org/10.18739/A22J6848J
","Only the thaw-depth transect tables for 2015, 2017, and 2018 are ingested into the canonical CUSP observation table. || Organic-layer-depth tables are excluded because organic-layer depth is not a canonical CUSP permafrost/depth observation. || The source metadata says TD is in meters, but the source values and probe-limit notes show the TD values are centimeters; CUSP therefore treats TD as centimeters. || Thaw depth was measured with a metal thaw probe inserted until resistance from frozen ground, so method is mapped to tp. || Rows with numeric TD and no probe-limit note are retained as permafrost-present observations with thaw_depth and pf_depth set to TD. || Rows whose notes say thaw depth exceeded probe length are retained as lower-bound absence observations with pf_observed = 0, obs_limit set to the stated probe length, and thaw_depth/pf_depth left missing. || Source TD values greater than 200 cm without a probe-limit note are excluded as probable data-entry errors because they are inconsistent with neighboring values and the source probe-limit notes. || Rows with nonnumeric TD, including NA values caused by obstruction or missing measurements, are excluded. || Coordinates are joined from the year-specific coordinate files. When only transect endpoint coordinates are supplied, point coordinates are linearly interpolated by source Location along the transect.",Observation dates are read from ViPER_TD_OLD_sample_dates_2015_2017_2018.csv by site and year. || Rows for site-years with source date = NA are excluded if present.,"Latitude and longitude are read from the year-specific coordinate tables in EPSG:4326. || Positive 2015 longitude values are interpreted as missing west-longitude signs and multiplied by -1, consistent with the dataset bounding box and the 2017/2018 coordinate tables. || Point coordinates are interpolated from bracketing transect coordinates when possible. || Rows with a site-level coordinate and no transect endpoint coordinates use that site-level coordinate for all thaw-depth points at the site/transect.",Download the Arctic Data Center package for DOI 10.18739/A22J6848J and unpack it into data/ViPER_2018.,Transect interpolation assumes that the source Location field is distance in meters along a straight line between supplied coordinate points. || A local comparison against FireALT/Talucci_2024 found overlapping Bonanza Creek rows; CUSP treats ViPER as the direct source and filters those rows in the Talucci_2024 processor. || Rows using site-level coordinates have repeated coordinates for multiple transect locations.,Arctic Data Center DOI: 10.18739/A22J6848J || License: Creative Commons Attribution 4.0 International,
Wagner_2019,data\Wagner_2019\process_wagner_2019.py,data\Wagner_2019\processed_wagner_2019.csv,structured_toml,yes,0,,Wagner_2019,approved,public_repository_terms,jschwenk + Codex,2026-08-06,no,no,"Wagner, Anna; Barker, Amanda (2018). Data for: Distribution of Polycyclic
Aromatic Hydrocarbons (PAHs) from Legacy Spills at an Alaskan Arctic Site
Underlain by Permafrost. Mendeley Data, V1.
doi:10.17632/2dn4rdmsxn.1
","The location and permafrost-depth tables are joined after reformatting station names to a common pattern. || UTM Zone 4 coordinates are converted from EPSG:32604 to WGS84. || Any row with a reported permafrost depth is treated as permafrost presence, regardless of depth; rows lacking permafrost depth are absence to the reported final profile depth.",A single field-campaign date of 2015-09-01 is assigned to all processed rows.,Easting and Northing coordinates are projected in EPSG:32604 and reprojected to WGS84 before export.,,thaw_depth is not reported and remains empty in the processed output. || The processed dates are campaign-level approximations rather than per-observation timestamps. || The source reports approximately 20 cm uncertainty in permafrost depth; CUSP preserves the numeric value without threshold reclassification.,,
Walker_2022,data\Walker_2022\process_walker_2022.py,data\Walker_2022\processed_walker_2022.csv,structured_toml,yes,0,,Walker_2022,approved,public_repository_terms,jschwenk + Codex,2026-08-06,no,no,"Walker, D. A., M. Kanevskiy, A. L. Breen, A. Kade, R. P. Daanen, B. M. Jones,
D. J. Nicolsky, H. Bergstedt, E. Watson-Cook, and J. L. Peirce. 2022.
Observations in ice-rich permafrost systems, Prudhoe Bay Alaska, 2020-21.
AGC Data Report 22-01, Alaska Geobotany Center, Fairbanks, Alaska, USA.
","Rows with numeric thaw depths are direct permafrost-presence observations with pf_depth equal to thaw_depth. || Rows reported as >x are lower-bound absence observations: pf_observed = 0, obs_limit = x, and thaw_depth/pf_depth are left empty. || Rows with other nonnumeric thaw-depth text are excluded because they do not support a state/depth observation. || Transect sample points are assumed to already have individual lat/lon coordinates in the input table.",Source dates are normalized to ISO calendar dates.,The script uses the per-point latitude and longitude values present in the input CSV.,,"Walker_2022 is the primary CUSP source for the 2020 Airport, Colleen, and Joregenson transects also published by Peirce_2020 because Walker provides native per-point coordinates; those shared rows are removed from Peirce_2020. || Greater-than measurements are censored at their reported probing limit and do not provide exact active-layer thickness.",,
Wang_2018,data\Wang_2018\process_wang_2018.py,data\Wang_2018\processed_wang_2018.csv,structured_toml,yes,0,,Wang_2018,approved,public_repository_terms,jschwenk + Codex,2026-05-19,no,no,"Kang Wang, Irina Overeem, Elchin Jafarov, Gary Clow, Vladimir Romanovsky,
Kevin Schaefer, Frank Urban, William Cable, Mark Piper, Christopher Schwalm,
Tingjun Zhang, Alexander Kholodov, Pamela Sousanes, Michael Loso,
David Swanson, and Kenneth Hill. (2018). A synthesis dataset of near-surface
permafrost conditions for Alaska, 1997-2016. Arctic Data Center.
doi:10.18739/A24X54G8D.
","The annual thaw-depth estimate for each site is taken from the deepest positive soil-temperature depth observed in that year. || If no deeper negative temperature is observed below the deepest thawed depth, the row is treated as pf_observed = 0; if a deeper negative temperature exists, pf_observed = 1 and pf_depth is set to the thaw depth. || Rows are skipped when the logic cannot evaluate deeper temperatures because required deeper sensors are missing.",Month abbreviations are mapped to integers and each annual record is assigned a mid-month date with day = 15.,Lat and Lon are read directly from the source synthesis dataset.,,"Depth resolution is limited to the available 25 cm sensor spacing. || Years with incomplete deeper temperature coverage can be skipped entirely. || Some Wang_2018 station-years spatially overlap with CALM/GTN-P annual ALT records, but the Wang publication and metadata describe PF-AK as a synthesis from GI-UAF, USGS, and NPS monitoring networks rather than as a CALM-derived table. CUSP therefore treats Wang_2018 as an independent source pending explicit station-year deduplication review.",,
Whitley_2018,data\Whitley_2018\process_whitley_2018.py,data\Whitley_2018\processed_whitley_2018.csv,structured_toml,yes,0,,Whitley_2018,approved,public_repository_terms,Annalise Khandelwal,2026-08-06,no,no,"Whitley, M.; Frost, G.; Jorgenson, M. T.; Macander, M.; Maio, C. V.; Winder,
S. G. 2018. ABoVE: Permafrost Measurements and Distribution Across the Y-K
Delta, Alaska, 2016. ORNL DAAC. https://doi.org/10.3334/ORNLDAAC/1598
","Source UTM coordinates are transformed from EPSG:26903 to WGS84 before export. || A single campaign-midpoint date of 2016-07-13 is assigned to all rows. || Where pf_observed = 1, thaw_depth is taken from frost_bottom when available, otherwise from frost_top. || pf_depth is set equal to thaw_depth for permafrost-present records. || obs_limit is fixed at 125 cm only for permafrost-absence rows; those rows receive the assumed-limit flag. || method is set to tp for all processed rows.",All observations share one representative campaign date because the script uses the midpoint of the 2016 measurement window.,Coordinates are transformed from NAD83 / UTM zone 3N (EPSG:26903) to WGS84.,,Observation timing is approximate because all records share one campaign-average date.,,
Zhang_2019,data\Zhang_2019\process_zhang_2019.py,data\Zhang_2019\processed_zhang_2019.csv,structured_toml,yes,0,,Zhang_2019,approved,published_literature,jschwenk + Codex,2026-08-04,no,no,"Zhang, Y.; Touzi, R.; Feng, W.; Hong, G.; Lantz, T.C.; Kokelj, S.V. 2021.
Landscape-scale variations in near-surface soil temperature and active-layer
thickness: Implications for high-resolution permafrost mapping. Permafrost and
Periglacial Processes 32(4): 627-640. https://doi.org/10.1002/ppp.2104
","The workbook is split into separate 2016 and 2017 observation tables and then concatenated. || thaw_depth and organic thickness values reported with a leading > are cleaned to numeric values before processing. || Ordinary numeric active-layer thickness is treated as permafrost presence at the reported depth. || Only explicit >x active-layer values are treated as lower-bound absence, using x as the row-specific obs_limit. || Longitude values are negated after import to convert west-longitude convention into signed decimal degrees. || pf_depth is set equal to exact numeric thaw_depth for presence rows and left empty for lower-bound absence rows. || method is set to tp for all retained rows because the source reports active-layer probe measurements.",Per-observation dates are preserved from the workbook after conversion to date strings.,Coordinates are read directly from the workbook and adjusted only by sign-flipping longitude.,,,,
Zhao_2021,data\Zhao_2021\process_zhao_2021.py,data\Zhao_2021\processed_zhao_2021.csv,structured_toml,yes,0,,Zhao_2021,approved,published_literature,jschwenk + Codex,2026-08-04,no,no,"Zhao, L.; Zou, D.; Hu, G.; Wu, T.; Du, E.; Liu, G.; Xiao, Y.; Li, R.; Pang,
Q.; Qiao, Y.; Wu, X.; Sun, Z.; Xing, Z.; Sheng, Y.; Zhao, Y.; Shi, J.; Xie,
C.; Wang, L.; Wang, C.; Cheng, G. 2021. A synthesis dataset of permafrost
thermal state for the Qinghai-Tibet (Xizang) Plateau, China. Earth System
Science Data 13: 4207-4218. https://doi.org/10.5194/essd-13-4207-2021
","For each site-year, the script searches all temperature-depth observations and keeps the deepest depth that is above 0 C, subject to the deeper-sensor decision rules in process_sheet(). || pf_observed is set to 1 only when a deeper sensor exists with temperature below 0 C; years with deeper readings that are all above 0 C or entirely missing are treated as indeterminate and skipped. || For absence rows, obs_limit is set to the maximum sensor depth and the deepest thawed sensor is retained only as provenance; presence rows keep exact inferred thaw/pf depth. || method is set to temp for all processed rows, and pf_depth is set equal to thaw_depth where pf_observed = 1.",Daily observations are reduced to one representative record per site-year based on the deepest valid thaw depth and warmest tie-breaking temperature.,Coordinates are attached by normalizing site names and joining to Site_Location_Info_Structured.csv without reprojection.,,"Years with insufficient deeper-sensor information are dropped entirely rather than carried forward as unknown permafrost states. || The site-name normalization removes trailing parenthetical descriptors, which could collapse distinct labels if future source naming changes.",,
